source,target,weight
1,47,3
1,36,3
1,37,3
1,91,3
7,42,3
7,87,3
7,116,3
7,189,3
10,194,2
10,187,2
10,59,3
10,39,3
10,191,3
14,13,1
14,71,2
14,53,2
14,45,2
14,83,2
14,15,3
17,191,1
17,37,2
17,35,2
17,187,2
17,109,2
17,52,3
17,64,3
17,43,3
17,194,3
17,192,3
17,190,3
18,56,3
18,73,3
18,101,3
18,77,3
18,107,3
23,46,3
23,74,3
23,30,3
24,39,2
24,2,2
24,47,2
24,116,2
24,108,2
24,187,2
24,191,2
24,82,3
24,81,3
24,1,3
25,191,1
25,187,2
25,190,2
25,101,2
25,56,2
25,194,3
25,98,3
25,57,3
25,69,3
25,108,3
25,189,3
28,51,2
28,62,2
28,67,2
28,109,2
28,50,2
28,82,2
28,191,2
28,85,2
28,49,2
29,107,2
29,64,2
29,194,2
29,191,2
29,190,2
29,52,2
29,45,2
29,192,3
29,187,3
29,54,3
29,90,3
30,23,2
30,46,3
30,74,3
30,194,3
35,85,3
35,102,3
35,41,3
35,194,3
35,191,3
36,47,3
36,1,3
36,37,3
36,61,3
36,91,3
37,189,1
37,187,1
37,109,2
37,17,2
37,43,2
37,191,2
37,91,3
37,61,3
37,47,3
37,1,3
37,36,3
37,194,3
41,85,2
41,115,2
41,102,2
41,35,2
43,74,1
43,189,1
43,194,2
43,37,2
43,109,2
43,191,2
43,64,3
43,17,3
43,192,3
43,190,3
43,187,3
45,194,2
45,191,2
45,192,3
45,187,3
45,71,3
45,94,3
45,53,3
46,74,3
46,30,3
46,23,3
47,1,3
47,91,3
47,37,3
47,36,3
47,10,3
50,194,2
50,82,2
50,191,3
50,189,3
50,2,3
50,24,3
50,116,3
50,81,3
51,62,3
51,28,3
51,67,3
51,109,3
51,49,3
51,191,3
51,190,3
52,194,1
52,192,2
52,187,2
52,45,2
52,64,3
52,43,3
52,17,3
53,94,3
53,45,3
53,71,3
53,14,3
53,83,3
54,64,2
54,190,2
54,189,2
54,187,2
54,29,3
54,90,3
54,13,3
54,192,3
56,194,2
56,191,2
56,187,2
56,192,3
56,101,3
56,77,3
56,107,3
56,73,3
56,18,3
59,51,2
59,81,2
59,28,2
59,85,2
59,116,2
59,194,2
59,192,2
59,190,2
59,187,2
59,46,2
59,10,3
59,89,3
59,39,3
59,191,3
62,51,2
62,28,2
62,67,2
62,109,2
62,2,2
62,49,2
62,191,2
64,54,1
64,191,1
64,107,2
64,52,3
64,43,3
64,17,3
64,192,3
67,51,3
67,62,3
67,28,3
67,109,3
67,50,3
67,82,3
67,192,3
67,49,3
69,98,3
69,57,3
69,108,3
69,25,3
69,194,3
71,194,2
71,191,2
71,190,2
71,189,2
71,187,2
71,14,3
71,45,3
71,94,3
71,15,3
71,83,3
71,53,3
71,192,3
73,45,2
73,107,3
73,56,3
73,101,3
73,77,3
73,18,3
77,101,2
77,56,2
77,18,2
77,73,2
77,107,2
81,116,3
81,24,3
81,82,3
81,2,3
81,50,3
81,191,3
81,187,3
83,53,3
83,45,3
83,15,3
83,14,3
83,94,3
83,71,3
84,194,2
84,87,3
84,191,3
84,7,3
84,104,3
85,187,2
85,115,3
85,35,3
85,102,3
85,41,3
85,194,3
87,194,2
87,104,2
87,7,2
87,42,2
87,187,2
87,191,3
87,84,3
87,189,3
89,194,2
89,190,2
89,187,2
89,51,2
89,59,3
89,10,3
89,39,3
89,191,3
90,47,2
90,2,2
90,191,2
90,98,2
90,190,2
90,189,2
90,18,2
90,14,2
90,187,2
90,77,2
90,194,2
90,29,3
90,54,3
90,13,3
90,192,3
94,53,3
94,45,3
94,14,3
94,71,3
94,83,3
94,192,3
94,187,3
98,69,3
98,108,3
98,25,3
98,57,3
98,14,3
98,194,3
101,191,2
101,190,2
101,187,2
101,73,2
101,77,2
101,18,2
101,45,2
101,192,3
101,56,3
101,107,3
102,187,2
102,191,2
102,85,3
102,115,3
102,41,3
102,35,3
102,194,3
107,194,2
107,187,2
107,191,2
107,108,2
107,73,3
107,56,3
107,101,3
107,77,3
107,18,3
107,192,3
108,14,2
108,24,2
108,98,3
108,69,3
108,25,3
108,57,3
109,37,2
109,49,3
109,51,3
109,62,3
109,28,3
109,67,3
109,190,3
115,35,2
115,85,2
115,102,2
115,41,2
116,81,3
116,82,3
116,24,3
116,2,3
116,50,3
116,7,3
116,28,3
116,189,3
116,191,3
116,187,3
